CODSABER,CODPRES,CENTRO_EDUCATIVO,TIPO_INSTITUCION,REGIONAL,PROVINCIA,CANTON,DISTRITO,POBLADO,DIRECCION,LATITUD,LONGITUD
200046-00,0000,COLEGIO BILINGÜE BOCA DEL MONTE,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,PASO ANCHO,DE LA ESCUELA REPUBLICA DE HAITI 25O Y 150N,"9,90963646","9,90963646"
200047-00,5719,ASOCIACIÓN ABRIENDO CAMINO (CAIPAD CAJANE),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,PASO ANCHO,DIAGONAL A LA IGLESIA CATOLICA DE LUNA PARK,0,0
200048-00,0000,INSTITUTO CIENTÍFICO BILINGÜE DEL SUR,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,MUSMANNI,100 OESTE DEL PALI DE SAN SEBASTIAN,"9,90861355","9,90861355"
200049-00,0000,JARDÍN DE NIÑOS MANITAS ACTIVAS,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,PASO ANCHO,BARRIO SAN GERARDO. DE TIENDA PICAROS 75 ESTE,"9,91044769","9,91044769"
200050-00,0000,ESCUELA MONTE ESPERANZA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,URBANIZACIÓN SABORÍO,DE3 EDUCACION VIAL100 M SUR Y 25 MTS OESTE,"9,91858853","9,91858853"
200051-00,0000,COLEGIO CIENTIFICO BILINGÜE SAGRADA REINA DE LOS ÁNGELES,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,CASCAJAL,"DE LA ROTONDA ""Y"" DESAMPARADOS 200M S Y 200 O","9,91179351","9,91179351"
200052-00,0000,CENTRO EDUCATIVO VIRGEN DE GUADALUPE,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,KENNEDY,DE LA IGLESIA CATOL.50 MTS.NORTE Y 50 OESTE,"9,91155416","9,91155416"
200053-00,0000,CENTRO EDUCATIVO GARABATOS INSTITUTO PREESCOLAR,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,SAN MIGUEL,200 M. ESTE Y 25 M. AL NORTE IGLESIA CATOLICA,9.91943223,-84.13721348
200054-00,0000,COLEGIO NUESTRA SEÑORA DEL PILAR,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,SAN MIGUEL,300 METROS SUR DEL TEMPLO CATOLICO DE ESCAZU,9.91730062,-84.13886393
200055-00,0000,JARDÍN INFANTIL SORPRESITAS,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,SAN MIGUEL,NO APLICA,0,0
200056-00,0000,GREENLAND SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,SAN ANTONIO,ESCAZU CENTRO,9.90926587,-84.14250098
200057-00,0000,CENTRO EDUCATIVO ARANDÚ - CENTRO EDUCATIVO ARANDÚ SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,LAURELES,"DE SPOON PLAZA LOS LAURELES, 50 MTS AL OESTE",9.93056369,-84.14702097
200058-00,0000,CENTRO EDUCATIVO SAINT AUGUSTINE COLLEGE,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,BELO HORIZONTE,300 METROS SUR 100 METROS ESTE DE PLAZA ROSE,"9,92725702","9,92725702"
200060-00,0000,HOMETWO MONTESSORI,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,MAYNARD,COSTADO OESTE DE LA IGLESIA DE SAN RAFAEL,9.92772972,-84.13599371
200061-00,0000,JARDÍN INFANTIL INTEGRAL BORBOLETA E ITSKATZÚ EDUCACIÓN INTEGRAL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,SAN RAFAEL,300 OESTE DEL CENTRO COMERCIAL PACO,9.93308283,-84.15315065
200062-00,0000,INTEGRAL KALLPA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,TREJOS MONTEALEGRE,-,9.93374041,-84.13464944
200063-00,0000,LIGHTHOUSE INTERNATIONAL SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,1 KM NORTE DE CONSTRUPLAZA,9.95472723,-84.16674897
200064-00,0000,ESCUELA VISTA DEL MONTE (MOUNT VIEW SCHOOL),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,2 KM. NORTE DEL CRUCE DE GUACHIPELIN,9.96138196,-84.17335219
200066-00,0000,SAINT MARY SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,400 NORTE DEL PUENTE DE GUACHIPELIN,9.95064819,-84.16431256
200067-00,0000,BLUE VALLEY SCHOOL (COLEGIO VALLE AZUL),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,-,9.95279692,-84.15900840
200068-00,0000,WASHINGTON SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,"1 KM NORTE CONSTRUPLAZA, CONT. VIVERO HABITAD",9.95731591,-84.16989537
200069-00,0000,WEST COLLEGE / WEST PRIMARY,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,-,9.96096246,-84.17511796
200070-00,0000,CENTRO EDUCATIVO IBCE KID´S ACADEMY,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,100 M OESTE PLAZA DE DEPORTES GRAVILIAS,9.89800536,-84.06332127
200071-00,3984,COLEGIO NUESTRA SEÑORA DE DESAMPARADOS,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,100 METROS NORTE DEL TEMPLO CATOLICO.,9.89952462,-84.06357441
200072-00,0000,ESCUELA CRISTIANA  ASAMBLEA DE DIOS TORREMOLINOS,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,CALLE FALLAS,DEL COLEGIO CONTADORES 150 O Y 100 S.E,9.89673440,-84.03926688
200075-00,0000,ESCUELA Y JARDIN DE NIÑOS VIRGEN MARIA DEL MILAGRO,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,DEL ICE 300 M AL SUR,9.89570257,-84.06369539
200076-00,0000,CENTRO EDUCATIVO BILINGÜE LLAMA DEL BOSQUE,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,HIGUITO,100 S DE LA PLAZA DE DEPORTES DE HIGUITO,9.85532851,-84.05115077
200077-00,0000,JARDÍN DE NIÑOS Y NIÑAS ESTRELLITAS LUMINOSAS ,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,HIGUITO,-,"9,85663035","9,85663035"
200078-00,0000,SAINT MICHAEL SCHOOL,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,MESEGUER,-,9.88273810,-84.06364251
200081-00,0000,ESCUELA RAYO DE LUZ DEL SUR (SUNSHINE SOUTH SCHOOL),PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN JUAN DE DIOS,CALLE PEDRITO MONGE,"DE LA IGLESIA CATOLICA, 200 SUR, 300 O, 125 S",9.87912140,-84.08685344
200082-00,0000,CENTRO EDUCATIVO VAS CHRISTIAN SCHOOL,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ARRIBA,JUNCALES,"DE AGENCIA GUACAMAYA, 100 M SUR Y 150 M OESTE",9.87905119,-84.07214960
200083-00,0000,EDUCARTE PREESCOLAR-PRIMARIA,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ARRIBA,JUNCALES,-,9.88102304,-84.07118696
200084-00,0000,CENTRO EDUCATIVO KINDER EL HIGUERONCITO,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ARRIBA,BAMBÚ,BARRIO EL BAMBU 800 MTS E DE LA ENTRADA PRINC,9.87631064,-84.07152678
200085-00,0000,CENTRO DE ESTIMULACIÓN TEMPRANA  OSITO PANDA,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ARRIBA,SAN RAFAEL ARRIBA,DEL RESTAURANTE EL BOYERO 125 NORTE,9.87879322,-84.07387248
200086-00,0000,ESCUELA MISIONERA CATOLICA REINA DE LA PAZ,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN ANTONIO,SAN ANTONIO,"SAN ANTONIO, DESAMPARADOS FRENTE AL CEMETERIO",9.89804501,-84.05311466
200087-00,0000,CENTRO EDUCATIVO BILINGÜE VIRGEN DE FÁTIMA,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ABAJO,SAN RAFAEL ABAJO,"DE LA PANADERIA MUSMANNI 25 SUR,100 OESTE.",9.89646572,-84.08655184
200089-00,5509,ASOCIACIÓN PARA LA FORMACION INTEGRAL DEL ADULTO CON CAPACIDADES ESPECIALES  (AFIACE),PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,"25 MTS. OESTES DEL BAR NUBIA,DES. CENTRO",9.88920608,-84.05429471
200090-00,0000,CENTRO EDUCATIVO ESCUELA CRISTIANA ASAMBLEAS DE DIOS LOS GUIDOS,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,LOS GUIDO,SECTOR TRES,SECTOR 3. 100 M ESTE DE LA PULPE. LA TERMINAL,9.86723494,-84.03899462
200091-00,0000,CENTRO EDUCATIVO COMPLEJO EDUCATIVO SANTA LUCÍA,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,PURISCAL,SANTIAGO,SANTIAGO,50 M OESTE DE FIDERPAC,0,0
200092-00,0000,CENTRO EDUCATIVO J.E.C SAINT SPIRIT SCHOOL,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,PURISCAL,SANTIAGO,LAS BRISAS,-,"9,84737219","9,84737219"
200094-00,0000,CENTRO EDUCATIVO MARIELY PRESCHOOL AND DAYCARE,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,PURISCAL,SAN ANTONIO,SAN ANTONIO,"SAN ANTONIO, DEL SUPER JAULARES 150 NOROESTE","9,8585191","9,8585191"
200095-00,0000,CORPORACION EDUCATIVA SANTA MARÍA,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,ASERRÍ,ALFONSO XIII,"ASERRI, 500 NORTE DEL CEMENTERIO",9.86923604,-84.08320701
200096-00,0000,CENTRO EDUCATIVO HOSANNA,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,ASERRÍ,ASERRI,"200 MTS SUR DE M SUPERMERCADO, ASERRI",9.86720998,-84.08712942
200097-00,0000,SANTA MARIA TECHNICAL SCHOOL,PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,ASERRÍ,POAS,500 AL SUR DE LA IGLESIA CATOLICA,9.86923604,-84.08320701
200098-00,0000,CENTRO EDUCATIVO KREATIVE STEPS MONTESSORI,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,MORA,COLON,BRASIL,50 MTS NORTE DEL CENTRO COMERCIAL VIA COLON,9.92889914,-84.24100805
200099-00,0000,CENTRO EDUCATIVO NEW HORIZON CHRISTIAN SCHOOL,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,MORA,COLON,COLON,300 OESTE DEL ANTIGUO MERCADO MUNICIPAL,9.91510997,-84.24114836
200100-00,0000,CENTRO EDUCATIVO SUN VALLEY HIGH SCHOOL,PRIVADO,DIRECCIÓN REGIONAL PURISCAL,SAN JOSÉ,MORA,COLON,BRASIL,HOGAR ANCIANOSDE MORA 200 NORTE Y 200 OESTE,"9,92886216","9,92886216"
200102-00,4815,CAIPAD - ASOACIACIÓN COSTARRICENSE DE PERSONAS EXCEPCIONALES CON NECESIDADES ESPECIALES (CAIPAD ACOPENE),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,EL ALTO,200 SUR 75 ESTE DE LA ROBERT,9.95256979,-84.04359771
200103-00,5094,CAIPAD - FUNDACIÓN DE ATENCIÓN AL ADULTO CON DISCAPACIDAD MÚLTIPLE (CAIPAD FUNADIS) ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,GUADALUPE,CONTIGUO AL PATIO MUNICIPAL,9.94585020,-84.05682762
200105-00,3966,COLEGIO MADRE DEL DIVINO PASTOR  ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,EL ALTO,CENTRO EL ALTO,9.95518712,-84.04107021
200107-00,0000,CENTRO INFANTIL LOS DELFINES ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,GALVEZ,100 N 150 E 100 N 25 E DEL  BANCO NACIONAL,9.95000489,-84.05126623
200109-00,0000,CENTRO EDUCATIVO MI PATRIA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,GUADALUPE,50 OESTE DE LOS TRIBULANES GOICOECHEA,9.94896670,-84.06018311
200110-00,0000,SANTA MONICA SCHOOL LIMITADA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,CALLE BLANCOS,MONTELIMAR,800 NORTE 400 OESTE DE LOS TRIBUNALES,9.95323176,-84.06558122
200111-00,0000,CENTRO EDUCATIVO LAKE MARY ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,CALLE BLANCOS,MONTELIMAR,400 NORTE DE LA GASOLINERA DE MONTELIMAR,9.95271329,-84.06022344
200112-00,0000,CENTRO EDUCATIVO CRISTIANO REFORMADO Y KINDER,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,MATA DE PLATANO,TEPEYAC,25 OESTE 150 NORTE 25 OESTE FARMACIA LEISA,9.95652576,-83.99247266
200114-00,0000,CENTRO EDUCATIVO SISTEMA EDUCATIVO ALTAVISTA DEL CARMEN,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,MATA DE PLATANO,MATA DE PLÁTANO,DE LA IGLESIA CATOLICA 1.5 KM AL ESTE,9.95664341,-84.00288154
200115-00,0000,CENTRO EDUCATIVO LA CABAÑA FELIZ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,IPIS,IPIS,DEL PALI DE IPIS 200 ESTE Y 25 SUR,9.96604593,-84.02167425
200116-00,0000,COLEGIO CRISTIANO ASAMBLEAS DE DIOS ACAD  (LOS CUADROS),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,PURRAL,CUADROS,COSTADO ESTE DE LA PLAZA DE DEPORTES,9.96014260,-84.00747568
200117-00,0000,BERKELEY ACADEMY,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,URUCA,PASO MACHETE,150 OESTE-300 SUR DE LA CRUZ ROJA,"9,9289948","9,9289948"
200118-00,0000,COLEGIO DEL MUNDO UNIDO COSTA RICA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,400 M. NORTE ESQUINA SURESTE IGLESIA CATOLICA,"9,93762706","9,93762706"
200120-00,0000,COMPLEJO EDUCATIVO CEDIC,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,EL ROBLE,DE LA CRUZ ROJA 400 ESTE Y 25 SUR,"9,93106503","9,93106503"
200121-00,0000,MARÍA  MONTSERRAT (CEMM) ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SAN RAFAEL,DE LA ENTRADA PRINCIPAL 150 SUR,"9,92823251","9,92823251"
200122-00,0000,CENTRO EDUCATIVO MUNDO DA CRIANCA & COLEGIO MULTICULTURAL DO BRASIL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,COSTADO OESTE DEL EMAI DE SANTA ANA,"9,92933182","9,92933182"
200123-00,0000,NEW WAY HIGH SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,DE LA MUNICIPALIDAD 300 MTS NORTE Y 175 OESTE,"9,93597247","9,93597247"
200124-00,0000,CEDIC HIGH SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,200 OESTE 300 NORTE 25 ESTE DE LA MUSMANNI,"9,93630356","9,93630356"
200127-00,0000,KIWI LEARNING CENTER & FRANZ LISZT SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,800 MTS SUR DE LA GASOLINERA HERMANOS MONTES,"9,92501363","9,92501363"
200128-00,0000,SAINT JUDE SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,POZOS,LINDORA,1 KM. OESTE DEL BANCO DAVIVIENDA,0,0
200129-00,0000,CENTRO EDUCATIVO TREE OF LIFE LEARNING CENTER,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,POZOS,POZOS,"CALLE MARGARITA, POZOS DE SANTA ANA","9,94022784","9,94022784"
200130-00,0000,CENTRO EDUCATIVO ILPPAL PRIMARIA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,URUCA,RIO ORO,75 METRSOS OESTE PLAZA OBELIZCO,0,0
200132-00,0000,CENTRO EDUCATIVO CONNELL ACADEMY,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,PIEDADES,PIEDADES,"CALLE CAÑAS, 200 MTS SUR DE ABOPAC, PIEDADES","9,93586081","9,93586081"
200133-00,0000,SUN VALLEY SCHOOL ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,PIEDADES,CARAÑA,DE LA GURDIA RURAL SANTA ANA 3 KM. AL OESTE,"9,92886216","9,92886216"
200134-00,0000,CENTRO EDUCATIVO GÉNESIS CHRISTIAN SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,ALAJUELITA,ALAJUELITA,350 OESTE DEL SUPER ACAPULCO,9.89952800,-84.10327054
200135-00,0000,LOVE AT WORK INTERNATIONAL CHRISTIAN SCHOOL S.A,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,ALAJUELITA,ALAJUELITA,300 ESTE DEL COSTADO SUR IGLESIA CATOLICA,9.90255726,-84.09771671
200136-00,0000,CENTRO EDUCATIVO SANTA RITA,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,ALAJUELITA,SANTA MARTA,250 NORTE DE LA IGLESIA CATOLICA ALAJUELITA,9.90626336,-84.10004576
200138-00,0000,CENTRO PEDAGÓGICO LA VILLA CREATIVA APRENDIENDO Y CRECIENDO,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,TIBÁS,ANSELMO LLORENTE,JARDÍNES DE TIBÁS,75M ESTE 25NORTEDEL DEPOSITO LBRADOR,"9,89383811","9,89383811"
200139-00,4154,"CENTRO INFANTIL PASITOS PEQUEÑOS, ESCUELA SAN JUAN BOSCO, COLEGIO TÉCNICO DON BOSCO",PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,CONCEPCIÓN,CONCEPCIÓN,1KM SUR PUENTE CAÑAS,9.89001668,-84.08807201
200141-00,0000,CENTRO BILINGÜE EDUCATIVO  AMADITA ROJAS DE MALAVASSI,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,SAN MARTÍN,COSTADO OESTE DEL CEMENTERIO LOCAL,"9,97222476","9,97222476"
200142-00,0000,COLEGIO BILINGÜE ENRIQUE MALAVASSI VARGAS,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,SAN FRANCISCO,600 ESTE DEL PALI,"9,97684183","9,97684183"
200143-00,0000,COLEGIO TERESIANO SAN ENRIQUE DE OSSO,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,SAN ISIDRO,-,"9,97415094","9,97415094"
200144-00,0000,CENTRO EDUCATIVO CRESTON SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN RAFAEL,SAN RAFAEL,400 NORTE DEL CRUCE CON SAN RAFAEL,"9,98155649","9,98155649"
200145-00,3954,INSTITUTO DE EDUCACION INTEGRAL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,CASCAJAL,CASCAJAL,300 SURESTE DE LA ESCUELA PUBLICA,"9,98600344","-83,95959277"
200146-00,0000,CENTRO EDUCATIVO THE SUMMIT SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN RAFAEL,SAN RAFAEL,125 ESTE DE LA ESCUELA SAN RAFAEL,"9,98216624","9,98216624"
200147-00,5900,CAIPAD - ASOCIACIÓN COMUNITARIA DE CORONADO PARA PERSONAS CON NECESIDADES ESPECIALES (CAIPAD ACOCONE),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,CASCAJAL,SINAI,DE LA Y GRIEGA 600 E.DEL ABASTECEDOR LA FINCA,0,0
200148-00,0000,CRISTIANO VIDA ABUNDANTE (COSTA RICA CHRISTIAN SCHOOL),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,PATALILLO,PATALILLO,-,"9,97318452","9,97318452"
200149-00,5097,ASOCIACIÓN PRO IGUALDAD DE OPORTUNIDADES PARA PERSONAS CON DISCAPACIDAD DEL CANTÓN DE ACOSTA Y COMUNIDADES VECINAS (APRIOPEDA),PRIVADO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,SAN IGNACIO,SAN IGNACIO,"EDIFICIO DE DOS PLANTAS,CONT.A COOPESANTOS",9.80150915,-84.16396259
200150-00,5099,ASOCIACIÓN NACIONAL PRO REHABILITACIÓN DEL ENFERMO MENTAL Y LA FAMILIA (CAIPAD AIPAD) ,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,SAN JUAN,DE LA ESC MIGUEL OBREGON 25 M O CASA NO 7,0,0
200152-00,0000,KINDER MI TIA PANCHITA / SAINT GABRIEL ELEMENTARY AND HIGH SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,FLORIDA,100 NORTE 50 ESTE 200 NORTE PLANTEL DEL ICE,"9,96570891","9,96570891"
200153-00,0000,JARDIN DE NIÑOS EL TRENCITO DEL SABER-CENTRO EDUCATIVO PRIMARIA MONTE VERDE-CENTRO EDUCATIVO SECUNDARIA SAN JUAN BAUTISTA (SAINT JOHN BAPTIST HIGH SCHOOL),PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,SAN JUAN,COSTADO SUR DE LA BOLETERIA ESTADIO SAPRISSA,"9,96479465","9,96479465"
200156-00,0000,CENTRO EDUCATIVO VALLEY FORGE FUTURE HIGH SCHOOL,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,SAN JUAN,150 OESTE DEL PARQUE DE TIBAS,"9,96159697","9,96159697"
200158-00,0000,NUEVOS HORIZONTES ESCOLARES /  JARDIN INFANTIL CONEJITO SALTARIN,PRIVADO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,ANSELMO LLORENTE,ANSELMO LLORENTE,400 METROS NORTE DEL ANTIGUO SALON LA PISTA,"9,96090417","9,96090417"
